Country,Total Library Size,Cost Per Month - Basic ($),Cost Per Month - Standard ($),Cost Per Month - Premium ($)
Argentina,4760,3.74,6.3,9.26
Australia,6114,7.84,12.12,16.39
Austria,5640,9.03,14.67,20.32
Belgium,4990,10.16,15.24,20.32
Bolivia,4991,7.99,10.99,13.99
Brazil,4972,4.61,7.11,9.96
Bulgaria,6797,9.03,11.29,13.54
Canada,6239,7.91,11.87,15.03
Chile,4994,7.07,9.91,12.74
Colombia,4991,4.31,6.86,9.93
Costa Rica,4988,8.99,12.99,15.99
Croatia,2274,9.03,11.29,13.54
Czechia,7325,8.83,11.49,14.15
Denmark,4558,12.0,15.04,19.6
Ecuador,4992,7.99,10.99,13.99
Estonia,6456,9.03,11.29,13.54
Finland,4045,9.03,13.54,18.06
France,5445,10.16,15.24,20.32
Germany,5668,9.03,14.67,20.32
Gibraltar,6167,9.03,14.67,20.32
Greece,4772,9.03,12.42,15.8
Guatemala,4767,7.99,10.99,13.99
Honduras,4989,7.99,10.99,13.99
Hong Kong,4746,8.08,10.0,11.93
Hungary,6884,7.64,10.71,13.78
Iceland,6387,9.03,14.67,20.32
India,5843,2.64,6.61,8.6
Indonesia,3887,8.36,10.66,12.96
Ireland,6486,9.03,14.67,20.32
Israel,5713,10.56,15.05,19.54
Italy,5183,9.03,14.67,20.32
Japan,5475,8.73,13.13,17.45
Latvia,6450,9.03,11.29,13.54
Liechtenstein,3048,12.88,20.46,26.96
Lithuania,6462,9.03,11.29,13.54
Malaysia,5952,8.29,10.65,13.02
Mexico,4993,6.62,10.43,14.24
Moldova,3937,9.03,11.29,13.54
Monaco,5804,9.03,13.54,18.06
Netherlands,5376,9.03,13.54,18.06
New Zealand,6084,8.8,12.53,16.94
Norway,4528,9.94,12.17,17.75
Paraguay,4797,8.29,11.49,14.69
Peru,4986,6.11,8.56,11.01
Philippines,6362,7.35,9.14,10.93
Poland,5109,7.13,10.58,14.76
Portugal,5047,9.03,13.54,18.06
Romania,5303,9.03,11.29,13.54
Russia,5711,8.13,10.84,13.56
San Marino,2310,9.03,14.67,20.32
Singapore,6303,9.51,12.81,16.11
Slovakia,7035,9.03,11.29,13.54
South Africa,5736,6.26,10.05,12.58
South Korea,5195,8.07,11.47,14.45
Spain,5229,9.03,14.67,20.32
Sweden,4361,10.9,14.2,19.7
Switzerland,5506,12.88,20.46,26.96
Taiwan,5105,9.74,11.9,14.07
Thailand,4948,8.34,10.43,12.52
Turkey,4639,1.97,3.0,4.02
Ukraine,5336,5.64,8.46,11.29
United Kingdom,6643,7.91,13.2,18.48
United States,5818,8.99,13.99,17.99
Uruguay,4989,8.99,12.99,15.99
Venezuela,4797,7.99,10.99,13.99
