Country Code,Short Name,Table Name,Long Name
ABW,Aruba,Aruba,Aruba
AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan
AGO,Angola,Angola,People's Republic of Angola
ALB,Albania,Albania,Republic of Albania
AND,Andorra,Andorra,Principality of Andorra
ARB,Arab World,Arab World,Arab World
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates
ARG,Argentina,Argentina,Argentine Republic
ARM,Armenia,Armenia,Republic of Armenia
ASM,American Samoa,American Samoa,American Samoa
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
AUS,Australia,Australia,Commonwealth of Australia
AUT,Austria,Austria,Republic of Austria
AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan
BDI,Burundi,Burundi,Republic of Burundi
BEL,Belgium,Belgium,Kingdom of Belgium
BEN,Benin,Benin,Republic of Benin
BFA,Burkina Faso,Burkina Faso,Burkina Faso
BGD,Bangladesh,Bangladesh,People's Republic of Bangladesh
BGR,Bulgaria,Bulgaria,Republic of Bulgaria
BHR,Bahrain,Bahrain,Kingdom of Bahrain
BHS,The Bahamas,"Bahamas, The",Commonwealth of The Bahamas
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
BLR,Belarus,Belarus,Republic of Belarus
BLZ,Belize,Belize,Belize
BMU,Bermuda,Bermuda,The Bermudas
BOL,Bolivia,Bolivia,Plurinational State of Bolivia
BRA,Brazil,Brazil,Federative Republic of Brazil
BRB,Barbados,Barbados,Barbados
BRN,Brunei,Brunei Darussalam,Brunei Darussalam
BTN,Bhutan,Bhutan,Kingdom of Bhutan
BWA,Botswana,Botswana,Republic of Botswana
CAF,Central African Republic,Central African Republic,Central African Republic
CAN,Canada,Canada,Canada
CEB,Central Europe and the Baltics,Central Europe and the Baltics,Central Europe and the Baltics
CHE,Switzerland,Switzerland,Switzerland
CHI,Channel Islands,Channel Islands,Channel Islands
CHL,Chile,Chile,Republic of Chile
CHN,China,China,People's Republic of China
CIV,Côte d'Ivoire,Côte d'Ivoire,Republic of Côte d'Ivoire
CMR,Cameroon,Cameroon,Republic of Cameroon
COD,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo
COG,Congo,"Congo, Rep.",Republic of Congo
COL,Colombia,Colombia,Republic of Colombia
COM,Comoros,Comoros,Union of the Comoros
CPV,Cabo Verde,Cabo Verde,Republic of Cabo Verde
CRI,Costa Rica,Costa Rica,Republic of Costa Rica
CSS,Caribbean small states,Caribbean small states,Caribbean small states
CUB,Cuba,Cuba,Republic of Cuba
CUW,Curaçao,Curaçao,Curaçao
CYM,Cayman Islands,Cayman Islands,Cayman Islands
CYP,Cyprus,Cyprus,Republic of Cyprus
CZE,Czech Republic,Czech Republic,Czech Republic
DEU,Germany,Germany,Federal Republic of Germany
DJI,Djibouti,Djibouti,Republic of Djibouti
DMA,Dominica,Dominica,Commonwealth of Dominica
