State,Code,Name,Type,Visitors
NC,BLRI,Blue Ridge Parkway,Parkway,871922828.0
CA,GOGA,Golden Gate National Recreation Area,National Recreation Area,611031225.0
NC,GRSM,Great Smoky Mountains National Park,National Park,521947058.0
MS,NATR,Natchez Trace Parkway,Parkway,443145232.0
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area,411700377.0
VA,GWMP,George Washington Memorial Parkway,National Parkway,330201962.0
NY,GATE,Gateway National Recreation Area,National Recreation Area,329664174.0
VA,COLO,Colonial National Historical Park,National Historical Park,282420671.0
DC,LINC,Lincoln Memorial,National Memorial,238620382.0
DC,NACA,National Capital Parks,Park,236187845.0
MA,CACO,Cape Cod National Seashore,National Seashore,236090520.0
AZ,GRCA,Grand Canyon National Park,National Park,205486894.0
PA,INDE,Independence National Historical Park,National Historical Park,193986440.0
CA,YOSE,Yosemite National Park,National Park,190404561.0
FL,GUIS,Gulf Islands National Seashore,National Seashore,180759814.0
CO,ROMO,Rocky Mountain National Park,National Park,180076609.0
WY,YELL,Yellowstone National Park,National Park,175040126.0
ME,ACAD,Acadia National Park,National Park,163512192.0
NY,STLI,Statue Of Liberty National Monument,National Monument,162010548.0
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,160743521.0
WA,OLYM,Olympic National Park,National Park,160737962.0
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,155933303.0
WY,GRTE,Grand Teton National Park,National Park,147898402.0
MO,JEFF,Jefferson National Expansion Memorial,National Memorial,134831931.0
PA,GETT,Gettysburg National Military Park,National Military Park,130245975.0
VA,SHEN,Shenandoah National Park,National Park,126112145.0
SD,MORU,Mount Rushmore National Memorial,National Memorial,113662332.0
NY,CACL,Castle Clinton National Monument,National Monument,113457923.0
DC,VIVE,Vietnam Veterans Memorial,National Memorial,113224323.0
UT,ZION,Zion National Park,National Park,111311078.0
CA,SAFR,San Francisco Maritime National Historical Park,National Historical Park,109392624.0
DC,JEFM,Thomas Jefferson Memorial,National Memorial,107660113.0
NC,CAHA,Cape Hatteras National Seashore,National Seashore,105764049.0
MT,GLAC,Glacier National Park,National Park,105029559.0
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area,104419450.0
MD,ASIS,Assateague Island National Seashore,National Seashore,98116492.0
CA,PORE,Point Reyes National Seashore,National Seashore,97582250.0
WA,MORA,Mount Rainier National Park,National Park,94488801.0
AR,HOSP,Hot Springs National Park,National Park,92028933.0
PA,VAFO,Valley Forge National Historical Park,National Historical Park,88327246.0
GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area,88134150.0
MA,BOST,Boston National Historical Park,National Historical Park,87202111.0
KY,MACA,Mammoth Cave National Park,National Park,84750237.0
HI,HAVO,Hawai'i Volcanoes National Park,National Park,82993984.0
OH,CUVA,Cuyahoga Valley National Park,National Park,81631077.0
DC,WAMO,Washington Monument,National Memorial,81365896.0
DC,ROCR,Rock Creek Park,Park,79399169.0
CA,CABR,Cabrillo National Monument,National Monument,75848069.0
OK,CHIC,Chickasaw National Recreation Area,National Recreation Area,72631445.0
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway,70782690.0
SD,BADL,Badlands National Park,National Park,69483454.0
IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore,67586940.0
DC,WHHO,White House,Other Designation,65699749.0
CA,MUWO,Muir Woods National Monument,National Monument,64822563.0
DC,KOWA,Korean War Veterans Memorial,National Memorial,64663281.0
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,63910183.0
CA,SEQU,Sequoia National Park,National Park,62857221.0
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area,62247752.0
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area,61625990.0
TX,AMIS,Amistad National Recreation Area,National Recreation Area,59469112.0
CA,FOPO,Fort Point National Historic Site,National Historic Site,59327420.0
WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,58288397.0
