ReleaseDate,Title,ProductionBudget,OpeningWeekend,DomesticBoxOffice,WorldwideBoxOffice
2008-05-02,Iron Man,,"$102,118,668","$318,604,126","$584,877,827"
2008-06-13,The Incredible Hulk,"$137,500,000","$55,414,050","$134,806,913","$265,573,859"
2010-05-07,Iron Man 2,"$170,000,000","$128,122,480","$312,433,331","$621,156,389"
2011-05-06,Thor,"$150,000,000","$65,723,338","$181,030,624","$449,326,618"
2011-07-22,Captain America: The First Avenger,"$140,000,000","$65,058,524","$176,654,505","$370,569,776"
2012-05-04,The Avengers[a],"$225,000,000","$207,438,708","$623,357,910","$1,515,100,211[1]"
2013-05-03,Iron Man 3,"$200,000,000","$174,144,585","$408,992,272","$1,214,630,956"
2013-11-08,Thor: The Dark World,"$150,000,000","$85,737,841","$206,362,140","$644,602,516"
2014-04-04,Captain America: The Winter Soldier,"$170,000,000","$95,023,721","$259,746,958","$714,401,889"
2014-08-01,Guardians of the Galaxy,"$170,000,000","$94,320,883","$333,714,112","$770,882,395"
2015-05-01,Avengers: Age of Ultron[b],"$365,000,000","$191,271,109","$459,005,868","$1,395,316,979"
2015-07-17,Ant-Man,,"$57,225,526","$180,202,163","$518,858,449"
"May 06, 2016",Captain America: Civil War,"$250,000,000","$179,139,142","$408,084,349","$1,151,899,586"
"Nov 04, 2016",Doctor Strange,"$165,000,000","$85,058,311","$232,641,920","$676,343,174"
"May 05, 2017",Guardians of the Galaxy Vol 2,"$200,000,000","$146,510,104","$389,813,101","$869,087,963"
"Jul 07, 2017",Spider-Man: Homecoming,"$175,000,000","$117,027,503","$334,580,976","$878,852,749"
"Nov 03, 2017",Thor: Ragnarok,"$180,000,000","$122,744,989","$315,058,289","$850,482,778"
"Feb 16, 2018",Black Panther[c],"$200,000,000","$202,003,951","$700,059,566","$1,334,157,082"
"Apr 27, 2018",Avengers: Infinity War[d],"$300,000,000","$257,698,183","$678,815,482","$2,048,359,754[2]"
"Jul 06, 2018",Ant-Man and the Wasp,"$130,000,000","$75,812,205","$216,648,740","$623,144,660"
"Mar 08, 2019",Captain Marvel,"$175,000,000","$153,433,423","$426,829,839","$1,129,576,094"
"Apr 26, 2019",Avengers: Endgame[e],"$400,000,000","$357,115,007","$858,373,000","$2,748,242,781[3]"
"Jul 02, 2019",Spider-Man: Far From Home,"$160,000,000","$92,579,212","$391,362,492","$1,132,298,674"
7/9/2021,Black Widow,"$200,000,000",,"$183,651,655","$379,751,131"
9/3/2021,Shang-Chi and the Legend of the Ten Rings,"$150,000,000","$75,388,688","$224,543,292","$432,224,634"
11/5/2021,Eternals,"$200,000,000","$71,297,219","$164,870,264","$401,731,759"
12/17/2021,Spider-Man: No Way Home[f],"$200,000,000","$260,138,569","$814,811,535","$1,921,206,586[4]"
5/6/2022,Doctor Strange in the Multiverse of Madness,"$200,000,000","$187,420,998","$411,331,607","$952,224,986"
7/8/2022,Thor: Love and Thunder,"$250,000,000","$144,165,107","$343,256,830","$760,928,081"
11/11/2022,Black Panther: Wakanda Forever,"$250,000,000","$181,339,761","$453,829,060","$853,985,546"
2/17/2023,Ant-Man and The Wasp: Quantumania,"$200,000,000","$106,109,650","$214,506,909","$463,635,303"
5/5/2023,Guardians of the Galaxy Vol 3,"$250,000,000","$118,414,021","$358,995,815","$845,163,792"
11/10/2023,The Marvels,,,"$84,500,223","$199,706,250"
7/26/2024,Deadpool & Wolverine,"$200,000,000","$211,435,291","$636,745,858","$1,338,071,348"
