Title,RottenTomatoes,Metacritic,CinemaScore
Iron Man,94%,79/100,A 
The Incredible Hulk,67%,61/100,A
Iron Man 2,73%,57/100,A
  Thor ,77%,57/100,B
Captain America: The First Avenger,79%,66/100,Grade A-
The Avengers,91%,69/100,A
Iron Man 3,79%,62/100,A 
Thor: The Dark World,66%,,A
Captain America: The Winter Soldier,90%,70/100,A
  Guardians of the Galaxy ,92%,76/100,A
Avengers: Age of Ultron,76%,66/100,A
Ant-Man,83%,64/100,A
Captain America: Civil War,90%,75/100,Grade A
Doctor Strange,89%,72/100,A
Guardians of the Galaxy Vol 2,85%,67/100,A
Spider-Man: Homecoming,92%,73/100,A
Thor: Ragnarok,93%,74/100,A
  Black Panther ,96%,88,A
Avengers: Infinity War,85%,68,A
Ant-Man and the Wasp,87%,70,A
Captain Marvel,79%,64,A 
Avengers: Endgame,94%,78,A
Spider-Man: Far From Home,90%,69,A
Black Widow,79%,67,A
  Shang-Chi and the Legend of the Ten Rings ,91%,71,A
Eternals,N/A,52,B
Spider-Man: No Way Home,93%,72,A
Doctor Strange in the Multiverse of Madness,74%,60,Grade B+
Thor: Love and Thunder,63%,,B+
Black Panther: Wakanda Forever,84%,67,Grade A
  Ant-Man and The Wasp: Quantumania ,47%,48,B
Guardians of the Galaxy Vol 3,82%,64,A
The Marvels,N/A,50,B
Deadpool & Wolverine,78%,56,A
