ReleaseDate,Title,ProductionBudget,OpeningWeekend,DomesticBoxOffice,WorldwideBoxOffice
2008-05-02,Iron Man,186000000,102118668,318604126,584877827
2008-06-13,The Incredible Hulk,137500000,55414050,134806913,265573859
2010-05-07,Iron Man 2,170000000,128122480,312433331,621156389
2011-05-06,Thor,150000000,65723338,181030624,449326618
2011-07-22,Captain America: The First Avenger,140000000,65058524,176654505,370569776
2012-05-04,The Avengers,225000000,207438708,623357910,1515100211
2013-05-03,Iron Man 3,200000000,174144585,408992272,1214630956
2013-11-08,Thor: The Dark World,150000000,85737841,206362140,644602516
2014-04-04,Captain America: The Winter Soldier,170000000,95023721,259746958,714401889
2014-08-01,Guardians of the Galaxy,170000000,94320883,333714112,770882395
2015-05-01,Avengers: Age of Ultron,365000000,191271109,459005868,1395316979
2015-07-17,Ant-Man,130000000,57225526,180202163,518858449
2016-05-06,Captain America: Civil War,250000000,179139142,408084349,1151899586
2016-11-04,Doctor Strange,165000000,85058311,232641920,676343174
2017-05-05,Guardians of the Galaxy Vol 2,200000000,146510104,389813101,869087963
2017-07-07,Spider-Man: Homecoming,175000000,117027503,334580976,878852749
2017-11-03,Thor: Ragnarok,180000000,122744989,315058289,850482778
2018-02-16,Black Panther,200000000,202003951,700059566,1334157082
2018-04-27,Avengers: Infinity War,300000000,257698183,678815482,2048359754
2018-07-06,Ant-Man and the Wasp,130000000,75812205,216648740,623144660
2019-03-08,Captain Marvel,175000000,153433423,426829839,1129576094
2019-04-26,Avengers: Endgame,400000000,357115007,858373000,2748242781
2019-07-02,Spider-Man: Far From Home,160000000,92579212,391362492,1132298674
2021-07-09,Black Widow,200000000,80366312,183651655,379751131
2021-09-03,Shang-Chi and the Legend of the Ten Rings,150000000,75388688,224543292,432224634
2021-11-05,Eternals,200000000,71297219,164870264,401731759
2021-12-17,Spider-Man: No Way Home,200000000,260138569,814811535,1921206586
2022-05-06,Doctor Strange in the Multiverse of Madness,200000000,187420998,411331607,952224986
2022-07-08,Thor: Love and Thunder,250000000,144165107,343256830,760928081
2022-11-11,Black Panther: Wakanda Forever,250000000,181339761,453829060,853985546
2023-02-17,Ant-Man and The Wasp: Quantumania,200000000,106109650,214506909,463635303
2023-05-05,Guardians of the Galaxy Vol 3,250000000,118414021,358995815,845163792
2023-11-10,The Marvels,270000000,46110859,84500223,199706250
2024-07-26,Deadpool & Wolverine,200000000,211435291,636745858,1338071348
